platform,title_raw,title_clean,cleaned_text,full_description,tokens,token_count,budget_extracted,budget_currency,budget_type,skills_clean,category_clean,posted_date
Freelancer.com,Scan-to-BIM MEP Modeling,scan-to-bim mep modeling 3d modelling architectural rendering architecture autocad autodesk revit building information m,scan-to-bim mep modeling 3d modelling architectural rendering architecture autocad autodesk revit building information modeling cad cam construction management revit solidworks,,scan-to-bim | mep | modeling | 3d | modelling | architectural | rendering | architecture | autocad | autodesk | revit | building | information | modeling | cad | cam | construction | management | revit | solidworks,20,20.0,USD,fixed,3d modelling | architectural rendering | architecture | autocad | autodesk revit | building information modeling | cad cam | construction management | revit | solidworks,,
Freelancer.com,Marketing Product Demonstration Video Creation,marketing product demonstration video creation adobe premiere pro animation final cut pro motion graphics video editing ,marketing product demonstration video creation adobe premiere pro animation final cut pro motion graphics video editing video production video services voice,,marketing | product | demonstration | video | creation | adobe | premiere | pro | animation | final | cut | pro | motion | graphics | video | editing | video | production | video | services | voice,21,281.0,USD,fixed,adobe premiere pro | animation | final cut pro | motion graphics | video editing | video production | video services | voice,,
Freelancer.com,Personal Brand PR Scaling,personal brand pr scaling article writing brand management content marketing content strategy content writing copywritin,personal brand pr scaling article writing brand management content marketing content strategy content writing copywriting creative writing media relations public relations social media marketing,,personal | brand | pr | scaling | article | writing | brand | management | content | marketing | content | strategy | content | writing | copywriting | creative | writing | media | relations | public | relations | social | media | marketing,24,36.0,USD,fixed,article writing | brand management | content marketing | content strategy | content writing | copywriting | creative writing | media relations | public relations | social media marketing,,
Freelancer.com,Google Play Game Upload,google play game upload android app development app design app publication app reskin app store optimization game design,google play game upload android app development app design app publication app reskin app store optimization game design game development mobile app development mobile app testing mobile development,,google | play | game | upload | android | app | development | app | design | app | publication | app | reskin | app | store | optimization | game | design | game | development | mobile | app | development | mobile | app | testing | mobile | development,28,24.0,USD,fixed,android app development | app design | app publication | app reskin | app store optimization | game design | game development | mobile app development | mobile app testing | mobile development,,
Freelancer.com,Custom Logo for Rent-Break Website,custom logo rent-break website branding creative design graphic design illustration illustrator logo design photoshop vi,custom logo rent-break website branding creative design graphic design illustration illustrator logo design photoshop visual design,,custom | logo | rent-break | website | branding | creative | design | graphic | design | illustration | illustrator | logo | design | photoshop | visual | design,16,30.0,USD,fixed,branding | creative design | graphic design | illustration | illustrator | logo design | photoshop | visual design,,
Freelancer.com,Monthly SEO for Shopify Store,monthly seo shopify store analytics competitor analysis internet marketing keyword research link building marketing seo ,monthly seo shopify store analytics competitor analysis internet marketing keyword research link building marketing seo shopify,,monthly | seo | shopify | store | analytics | competitor | analysis | internet | marketing | keyword | research | link | building | marketing | seo | shopify,16,26.0,USD,fixed,analytics | competitor analysis | internet marketing | keyword research | link building | marketing | seo | shopify,,
Freelancer.com,"Creative Solutions - Design, Media, Data entry, writing, and Content Creation",creative solutions design media data entry writing content creation branding content creation copywriting creative writi,creative solutions design media data entry writing content creation branding content creation copywriting creative writing graphic design logo design photo editing social media marketing video editing voice,,creative | solutions | design | media | data | entry | writing | content | creation | branding | content | creation | copywriting | creative | writing | graphic | design | logo | design | photo | editing | social | media | marketing | video | editing | voice,27,11.0,USD,fixed,branding | content creation | copywriting | creative writing | graphic design | logo design | photo editing | social media marketing | video editing | voice,,
Freelancer.com,Premium App Icon needed – BMX/Pump Track Locator (PTL),premium app icon needed bmx pump track locator ptl adobe illustrator adobe photoshop app design app development graphic ,premium app icon needed bmx pump track locator ptl adobe illustrator adobe photoshop app design app development graphic design icon design logo design ui user interface user interface ia vector design,,premium | app | icon | needed | bmx | pump | track | locator | ptl | adobe | illustrator | adobe | photoshop | app | design | app | development | graphic | design | icon | design | logo | design | ui | user | interface | user | interface | ia | vector | design,31,25.0,USD,fixed,adobe illustrator | adobe photoshop | app design | app development | graphic design | icon design | logo design | ui user interface | user interface ia | vector design,,
Freelancer.com,Fuzzy logic doubts,fuzzy logic doubts algorithm engineering mathematics matlab mathematica teaching lecturing,fuzzy logic doubts algorithm engineering mathematics matlab mathematica teaching lecturing,,fuzzy | logic | doubts | algorithm | engineering | mathematics | matlab | mathematica | teaching | lecturing,10,2.0,USD,fixed,algorithm | engineering | mathematics | matlab mathematica | teaching lecturing,,
Freelancer.com,Agentic AI Engineer to help optimize our media monitoring stack,agentic ai engineer help optimize media monitoring stack agentic ai ai agents ai development ai model development ai res,agentic ai engineer help optimize media monitoring stack agentic ai ai agents ai development ai model development ai research ai text-to-text data scraping natural language understanding social networking,,agentic | ai | engineer | help | optimize | media | monitoring | stack | agentic | ai | ai | agents | ai | development | ai | model | development | ai | research | ai | text-to-text | data | scraping | natural | language | understanding | social | networking,28,24.0,USD,fixed,agentic ai | ai agents | ai development | ai model development | ai research | ai text-to-text | data scraping | natural language understanding | social networking,,
Freelancer.com,Online Discussion,online discussion report writing technical writing,online discussion report writing technical writing,,online | discussion | report | writing | technical | writing,6,15.0,USD,fixed,report writing | technical writing,,
Freelancer.com,Cinematic Insta360 Kitesurfing Edit,cinematic insta360 kitesurfing edit 360-degree video adobe premiere pro effects animation color grading final cut pro vi,cinematic insta360 kitesurfing edit 360-degree video adobe premiere pro effects animation color grading final cut pro video editing video production,,cinematic | insta360 | kitesurfing | edit | 360-degree | video | adobe | premiere | pro | effects | animation | color | grading | final | cut | pro | video | editing | video | production,20,100.0,USD,fixed,360-degree video | adobe premiere pro | effects | animation | color grading | final cut pro | video editing | video production,,
Freelancer.com,Dissertation Editing for Doctoral Readiness,dissertation editing doctoral readiness academic writing copy editing editing proofreading research research writing tec,dissertation editing doctoral readiness academic writing copy editing editing proofreading research research writing technical writing writing tutoring,,dissertation | editing | doctoral | readiness | academic | writing | copy | editing | editing | proofreading | research | research | writing | technical | writing | writing | tutoring,17,330.0,USD,fixed,academic writing | copy editing | editing | proofreading | research | research writing | technical writing | writing tutoring,,
Freelancer.com,Game Data Retrieval API,game data retrieval api android api development backend development data management game development java mobile app dev,game data retrieval api android api development backend development data management game development java mobile app development php,,game | data | retrieval | api | android | api | development | backend | development | data | management | game | development | java | mobile | app | development | php,18,640.0,USD,fixed,android | api development | backend development | data management | game development | java | mobile app development | php,,
Freelancer.com,Audit Corporate Website for AI Search,audit corporate website ai search ai chatbot ai content creation content strategy internet marketing link building searc,audit corporate website ai search ai chatbot ai content creation content strategy internet marketing link building search engine marketing seo web development,,audit | corporate | website | ai | search | ai | chatbot | ai | content | creation | content | strategy | internet | marketing | link | building | search | engine | marketing | seo | web | development,22,145.0,USD,fixed,ai chatbot | ai content creation | content strategy | internet marketing | link building | search engine marketing | seo | web development,,
Freelancer.com,Convert Sketches to Fusion 360,convert sketches fusion 360 3d design 3d drafting 3d modelling 3d printing 3d rendering cad cam fusion 360,convert sketches fusion 360 3d design 3d drafting 3d modelling 3d printing 3d rendering cad cam fusion 360,,convert | sketches | fusion | 360 | 3d | design | 3d | drafting | 3d | modelling | 3d | printing | 3d | rendering | cad | cam | fusion | 360,18,100.0,USD,fixed,3d design | 3d drafting | 3d modelling | 3d printing | 3d rendering | cad cam | fusion 360,,
Freelancer.com,Drawing Congo Real Estate Drawings,drawing congo real estate drawings architectural engineering architecture civil engineering construction engineering ele,drawing congo real estate drawings architectural engineering architecture civil engineering construction engineering electrical engineering electronic design engineering drawing hvac plumbing real estate,,drawing | congo | real | estate | drawings | architectural | engineering | architecture | civil | engineering | construction | engineering | electrical | engineering | electronic | design | engineering | drawing | hvac | plumbing | real | estate,22,5276.0,USD,fixed,architectural engineering | architecture | civil engineering | construction engineering | electrical engineering | electronic design | engineering drawing | hvac | plumbing | real estate,,
Freelancer.com,Gen Z Oriented T-Shirt Slogan Copywriter,gen oriented t-shirt slogan copywriter advertising branding content writing copywriting creative writing digital marketi,gen oriented t-shirt slogan copywriter advertising branding content writing copywriting creative writing digital marketing graphic design logo design slogans t-shirts,,gen | oriented | t-shirt | slogan | copywriter | advertising | branding | content | writing | copywriting | creative | writing | digital | marketing | graphic | design | logo | design | slogans | t-shirts,20,376.0,USD,fixed,advertising | branding | content writing | copywriting | creative writing | digital marketing | graphic design | logo design | slogans | t-shirts,,
Freelancer.com,I need a writer,need writer article rewriting article writing content writing research writing technical writing,need writer article rewriting article writing content writing research writing technical writing,,need | writer | article | rewriting | article | writing | content | writing | research | writing | technical | writing,12,19.0,USD,fixed,article rewriting | article writing | content writing | research writing | technical writing,,
Freelancer.com,I need a writer - 23/01/2023 04:53 EST,need writer 23 01 2023 04 53 est article rewriting article writing content writing research writing technical writing,need writer 23 01 2023 04 53 est article rewriting article writing content writing research writing technical writing,,need | writer | 23 | 01 | 2023 | 04 | 53 | est | article | rewriting | article | writing | content | writing | research | writing | technical | writing,18,20.0,USD,fixed,article rewriting | article writing | content writing | research writing | technical writing,,
Freelancer.com,Fix Search System Glitch on Health Directory Website,fix search system glitch health directory website html javascript mysql php wordpress,fix search system glitch health directory website html javascript mysql php wordpress,,fix | search | system | glitch | health | directory | website | html | javascript | mysql | php | wordpress,12,170.0,USD,fixed,html | javascript | mysql | php | wordpress,,
Freelancer.com,Streetwear & Casual Apparel Designs,streetwear casual apparel designs creative design fashion consulting fashion design fashion modeling fashion writing gra,streetwear casual apparel designs creative design fashion consulting fashion design fashion modeling fashion writing graphic design logo design t-shirts,,streetwear | casual | apparel | designs | creative | design | fashion | consulting | fashion | design | fashion | modeling | fashion | writing | graphic | design | logo | design | t-shirts,19,190.0,USD,fixed,creative design | fashion consulting | fashion design | fashion modeling | fashion writing | graphic design | logo design | t-shirts,,
Freelancer.com,Statewide Strata Committee Research,statewide strata committee research data collection data entry data management data mining data scraping excel google sh,statewide strata committee research data collection data entry data management data mining data scraping excel google sheets web search,,statewide | strata | committee | research | data | collection | data | entry | data | management | data | mining | data | scraping | excel | google | sheets | web | search,19,74.0,USD,fixed,data collection | data entry | data management | data mining | data scraping | excel | google sheets | web search,,
Freelancer.com,LLP Forms & DSC Signing,llp forms dsc signing accounting business consulting compliance corporate law financial consulting legal tax tax complia,llp forms dsc signing accounting business consulting compliance corporate law financial consulting legal tax tax compliance,,llp | forms | dsc | signing | accounting | business | consulting | compliance | corporate | law | financial | consulting | legal | tax | tax | compliance,16,40.0,USD,fixed,accounting | business consulting | compliance | corporate law | financial consulting | legal | tax | tax compliance,,
Freelancer.com,WordPress Website for Car Removal Service,wordpress website car removal service html php web design website design website development wordpress wordpress design ,wordpress website car removal service html php web design website design website development wordpress wordpress design wordpress plugin,,wordpress | website | car | removal | service | html | php | web | design | website | design | website | development | wordpress | wordpress | design | wordpress | plugin,18,318.0,USD,fixed,html | php | web design | website design | website development | wordpress | wordpress design | wordpress plugin,,
Freelancer.com,Internalized Oppression Research Paper,internalized oppression research paper academic writing data analysis psychology qualitative research report writing res,internalized oppression research paper academic writing data analysis psychology qualitative research report writing research research writing technical writing,,internalized | oppression | research | paper | academic | writing | data | analysis | psychology | qualitative | research | report | writing | research | research | writing | technical | writing,18,25.0,USD,fixed,academic writing | data analysis | psychology | qualitative research | report writing | research | research writing | technical writing,,
Freelancer.com,Facebook Post Content Design,facebook post content design branding content creation copywriting graphic design illustration social media management s,facebook post content design branding content creation copywriting graphic design illustration social media management social media marketing visual design,,facebook | post | content | design | branding | content | creation | copywriting | graphic | design | illustration | social | media | management | social | media | marketing | visual | design,19,107.0,USD,fixed,branding | content creation | copywriting | graphic design | illustration | social media management | social media marketing | visual design,,
Freelancer.com,KPI Screencast With English Voiceover,kpi screencast english voiceover effects animation audio production audio services video editing video production voice ,kpi screencast english voiceover effects animation audio production audio services video editing video production voice voice talent,,kpi | screencast | english | voiceover | effects | animation | audio | production | audio | services | video | editing | video | production | voice | voice | talent,17,111.0,USD,fixed,effects | animation | audio production | audio services | video editing | video production | voice | voice talent,,
Freelancer.com,AI Nature Discovery & Exploration Platform,ai nature discovery exploration platform ai model development caricature cartoons graphic design illustration logo desig,ai nature discovery exploration platform ai model development caricature cartoons graphic design illustration logo design mongodb node.js react native,,ai | nature | discovery | exploration | platform | ai | model | development | caricature | cartoons | graphic | design | illustration | logo | design | mongodb | node.js | react | native,19,9.0,USD,fixed,ai model development | caricature cartoons | graphic design | illustration | logo design | mongodb | node.js | react native,,
Freelancer.com,AI-Based Trading Card Grading App Development,ai-based trading card grading app development ai development api development backend development flutter image analysis ,ai-based trading card grading app development ai development api development backend development flutter image analysis machine learning ml mobile app development payment processing python react native,,ai-based | trading | card | grading | app | development | ai | development | api | development | backend | development | flutter | image | analysis | machine | learning | ml | mobile | app | development | payment | processing | python | react | native,26,1197.0,USD,fixed,ai development | api development | backend development | flutter | image analysis | machine learning ml | mobile app development | payment processing | python | react native,,
Freelancer.com,Remove Fake Google Reviews,remove fake google reviews article rewriting article writing conflict resolution customer service digital marketing inte,remove fake google reviews article rewriting article writing conflict resolution customer service digital marketing internet marketing seo social media management,,remove | fake | google | reviews | article | rewriting | article | writing | conflict | resolution | customer | service | digital | marketing | internet | marketing | seo | social | media | management,20,409.0,USD,fixed,article rewriting | article writing | conflict resolution | customer service | digital marketing | internet marketing | seo | social media management,,
Freelancer.com,Luxury Car Detailing Logo,luxury car detailing logo adobe illustrator adobe photoshop branding graphic design illustration illustrator logo design,luxury car detailing logo adobe illustrator adobe photoshop branding graphic design illustration illustrator logo design photoshop typography visual design,,luxury | car | detailing | logo | adobe | illustrator | adobe | photoshop | branding | graphic | design | illustration | illustrator | logo | design | photoshop | typography | visual | design,19,50.0,USD,fixed,adobe illustrator | adobe photoshop | branding | graphic design | illustration | illustrator | logo design | photoshop | typography | visual design,,
Freelancer.com,FNSACC601 Tax Assessment Revision Australian Tax Compliance Expert Needed,fnsacc601 tax assessment revision australian tax compliance expert needed accounting audit finance financial analysis fi,fnsacc601 tax assessment revision australian tax compliance expert needed accounting audit finance financial analysis financial consulting tax compliance tax law tax preparation tax risk management,,fnsacc601 | tax | assessment | revision | australian | tax | compliance | expert | needed | accounting | audit | finance | financial | analysis | financial | consulting | tax | compliance | tax | law | tax | preparation | tax | risk | management,25,7.0,USD,fixed,accounting | audit | finance | financial analysis | financial consulting | tax compliance | tax law | tax preparation | tax risk management,,
Freelancer.com,Corporate Promo Video Creation,corporate promo video creation effects animation motion graphics post-production script writing video editing video serv,corporate promo video creation effects animation motion graphics post-production script writing video editing video services voice,,corporate | promo | video | creation | effects | animation | motion | graphics | post-production | script | writing | video | editing | video | services | voice,16,58.0,USD,fixed,effects | animation | motion graphics | post-production | script writing | video editing | video services | voice,,
Freelancer.com,Interactive Billboard Inventory Website,interactive billboard inventory website cms graphic design html php react.js web application web design web development ,interactive billboard inventory website cms graphic design html php react.js web application web design web development website design wordpress,,interactive | billboard | inventory | website | cms | graphic | design | html | php | react.js | web | application | web | design | web | development | website | design | wordpress,19,15.0,USD,fixed,cms | graphic design | html | php | react.js | web application | web design | web development | website design | wordpress,,
Freelancer.com,Private project or contest #40424520,private project contest 40424520 accounting bank reconciliation bookkeeping data entry data management finance financial,private project contest 40424520 accounting bank reconciliation bookkeeping data entry data management finance financial analysis financial consulting,,private | project | contest | 40424520 | accounting | bank | reconciliation | bookkeeping | data | entry | data | management | finance | financial | analysis | financial | consulting,17,,,unknown,accounting | bank reconciliation | bookkeeping | data entry | data management | finance | financial analysis | financial consulting,,
Freelancer.com,Odoo GST & TDS Reporting Help,odoo gst tds reporting help accounting erp odoo tax compliance,odoo gst tds reporting help accounting erp odoo tax compliance,,odoo | gst | tds | reporting | help | accounting | erp | odoo | tax | compliance,10,10.0,USD,fixed,accounting | erp | odoo | tax compliance,,
Freelancer.com,Modern Brand Identity Logo Design,modern brand identity logo design adobe illustrator branding creative design graphic design illustrator logo design vect,modern brand identity logo design adobe illustrator branding creative design graphic design illustrator logo design vector design visual design,,modern | brand | identity | logo | design | adobe | illustrator | branding | creative | design | graphic | design | illustrator | logo | design | vector | design | visual | design,19,190.0,USD,fixed,adobe illustrator | branding | creative design | graphic design | illustrator | logo design | vector design | visual design,,
Freelancer.com,Dog Walking Service Setup,dog walking service setup business consulting business development business management customer experience customer serv,dog walking service setup business consulting business development business management customer experience customer service customer support data collection marketing strategy,,dog | walking | service | setup | business | consulting | business | development | business | management | customer | experience | customer | service | customer | support | data | collection | marketing | strategy,20,279.0,USD,fixed,business consulting | business development | business management | customer experience | customer service | customer support | data collection | marketing strategy,,
Freelancer.com,Wordpress Theme Customization Expert,wordpress theme customization expert css html php web application web design web development wordpress wordpress design,wordpress theme customization expert css html php web application web design web development wordpress wordpress design,,wordpress | theme | customization | expert | css | html | php | web | application | web | design | web | development | wordpress | wordpress | design,16,24.0,USD,fixed,css | html | php | web application | web design | web development | wordpress | wordpress design,,
Mostaqel.com,إدارة صفحة رياضية,اداره صفحه رياضيه السلام عليكم ورحمه الله وبركاته,اداره صفحه رياضيه السلام عليكم ورحمه الله وبركاته,السلام عليكم ورحمة الله وبركاته,اداره | صفحه | رياضيه | السلام | عليكم | ورحمه | الله | وبركاته,8,,,unknown,,,2026-05-07 00:35:29
Mostaqel.com,نظام اداري و محاسبي متكامل,نظام اداري محاسبي متكامل اريد الحصول علي سورس كود برنامج اداري محاسبي متكامل يعمل علي الويب,نظام اداري محاسبي متكامل اريد الحصول علي سورس كود برنامج اداري محاسبي متكامل يعمل علي الويب,أريد الحصول على سورس كود برنامج اداري و محاسبي متكامل يعمل على الويب,نظام | اداري | محاسبي | متكامل | اريد | الحصول | علي | سورس | كود | برنامج | اداري | محاسبي | متكامل | يعمل | علي | الويب,16,,,unknown,,,2026-05-06 22:05:08
Mostaqel.com,تصميم صور عرض باقات كتب (6 تصاميم),تصميم صور عرض باقات كتب تصاميم ابحث مصمم جرافيك محترف ومبدع استخدام برنامج الفوتوشوب، لديه لمسه فنيه دمج العناصر واخراج ,تصميم صور عرض باقات كتب تصاميم ابحث مصمم جرافيك محترف ومبدع استخدام برنامج الفوتوشوب، لديه لمسه فنيه دمج العناصر واخراج صور تسويقيه جذابه لمتجر كتب. المطلوب تنفيذ تصاميم احترافيه مراعاه دمجها انسيابيا خلفيه المتجر.,أبحث عن مصمم جرافيك محترف ومبدع في استخدام برنامج الفوتوشوب، لديه لمسة فنية في دمج العناصر وإخراج صور تسويقية جذابة لمتجر كتب. المطلوب هو تنفيذ 6 تصاميم احترافية مع مراعاة دمجها انسيابياً مع خلفية المتجر.,تصميم | صور | عرض | باقات | كتب | تصاميم | ابحث | مصمم | جرافيك | محترف | ومبدع | استخدام | برنامج | الفوتوشوب، | لديه | لمسه | فنيه | دمج | العناصر | واخراج | صور | تسويقيه | جذابه | لمتجر | كتب. | المطلوب | تنفيذ | تصاميم | احترافيه | مراعاه | دمجها | انسيابيا | خلفيه | المتجر.,34,,,unknown,,,2026-05-06 22:03:14
Mostaqel.com,مصمم جرافيك محترف لتصميم مواد تسويقية,مصمم جرافيك محترف لتصميم مواد تسويقيه مصمم جرافيك مبدع لديه خبره تصميم المواد التسويقيه، علي انشاء تصاميم احترافيه وجذاب,مصمم جرافيك محترف لتصميم مواد تسويقيه مصمم جرافيك مبدع لديه خبره تصميم المواد التسويقيه، علي انشاء تصاميم احترافيه وجذابه تعكس هويه المشروع.,نبحث عن مصمم جرافيك مبدع لديه خبرة في تصميم المواد التسويقية، للعمل على إنشاء تصاميم احترافية وجذابة تعكس هوية المشروع.,مصمم | جرافيك | محترف | لتصميم | مواد | تسويقيه | مصمم | جرافيك | مبدع | لديه | خبره | تصميم | المواد | التسويقيه، | علي | انشاء | تصاميم | احترافيه | وجذابه | تعكس | هويه | المشروع.,22,,,unknown,,,2026-05-06 22:02:58
Mostaqel.com,سبا خدمات منزليه في الرياض (مساج + اظافر),سبا خدمات منزليه الرياض مساج اظافر ابحث,سبا خدمات منزليه الرياض مساج اظافر ابحث,ابحث عن,سبا | خدمات | منزليه | الرياض | مساج | اظافر | ابحث,7,,,unknown,,,2026-05-06 21:32:52
Mostaqel.com,استرجاع حساب انستجرام,استرجاع حساب انستجرام احتاج الي احد يقوم بفك حظر الانستجرام الدايم استرجاع حساب الفيس بوك,استرجاع حساب انستجرام احتاج الي احد يقوم بفك حظر الانستجرام الدايم استرجاع حساب الفيس بوك,احتاج الي احد يقوم بفك حظر الانستجرام الدائم و استرجاع حساب الفيس بوك,استرجاع | حساب | انستجرام | احتاج | الي | احد | يقوم | بفك | حظر | الانستجرام | الدايم | استرجاع | حساب | الفيس | بوك,15,,,unknown,,,2026-05-06 21:15:57
Mostaqel.com,مطلوب Appointment Setter لتحويل ليدز زراعة الأسنان إلى مواعيد داخل العيادة,appointment setter لتحويل ليدز زراعه الاسنان الي مواعيد داخل العياده appointment setter لمتابعه مرضي زراعه الاسنان وحجز ,appointment setter لتحويل ليدز زراعه الاسنان الي مواعيد داخل العياده appointment setter لمتابعه مرضي زراعه الاسنان وحجز مواعيد بالعياده,مطلوب Appointment Setter لمتابعة مرضى زراعة الأسنان وحجز مواعيد بالعيادة,appointment | setter | لتحويل | ليدز | زراعه | الاسنان | الي | مواعيد | داخل | العياده | appointment | setter | لمتابعه | مرضي | زراعه | الاسنان | وحجز | مواعيد | بالعياده,19,,,unknown,,,2026-05-06 21:09:01
Mostaqel.com,مختص في أمن المعلومات,مختص امن المعلومات مختص تقني لديه خبره اغلاق الصفحات المسييه علي فيسبوك بطرق قانونيه، للتعامل صفحه تقوم بالتشهير,مختص امن المعلومات مختص تقني لديه خبره اغلاق الصفحات المسييه علي فيسبوك بطرق قانونيه، للتعامل صفحه تقوم بالتشهير,مطلوب مختص تقني لديه خبرة في إغلاق الصفحات المسيئة على فيسبوك بطرق قانونية، للتعامل مع صفحة تقوم بالتشهير,مختص | امن | المعلومات | مختص | تقني | لديه | خبره | اغلاق | الصفحات | المسييه | علي | فيسبوك | بطرق | قانونيه، | للتعامل | صفحه | تقوم | بالتشهير,18,,,unknown,,,2026-05-06 21:05:36
Mostaqel.com,تصميم مخطط فيلا كروكي,تصميم مخطط فيلا كروكي لدي بيت مولف طابقين ولدي الفكره الاوليه واريد تصميم مخطط لتوزيع الغرف الفرش اللازم,تصميم مخطط فيلا كروكي لدي بيت مولف طابقين ولدي الفكره الاوليه واريد تصميم مخطط لتوزيع الغرف الفرش اللازم,لدي بيت مؤلف من طابقين ولدي الفكرة الاولية وأريد تصميم مخطط لتوزيع الغرف فيه مع الفرش اللازم,تصميم | مخطط | فيلا | كروكي | لدي | بيت | مولف | طابقين | ولدي | الفكره | الاوليه | واريد | تصميم | مخطط | لتوزيع | الغرف | الفرش | اللازم,18,,,unknown,,,2026-05-06 20:59:06
Mostaqel.com,مراجعة لغوية ونحوية,مراجعه لغويه ونحويه المطلوب مراجعه لغويه ونحويه وفواصل وغيرها لتقرير 190صفحه باللغه العربيه,مراجعه لغويه ونحويه المطلوب مراجعه لغويه ونحويه وفواصل وغيرها لتقرير 190صفحه باللغه العربيه,المطلوب مراجعة لغوية ونحوية وفواصل وغيرها لتقرير من 190صفحة باللغة العربية,مراجعه | لغويه | ونحويه | المطلوب | مراجعه | لغويه | ونحويه | وفواصل | وغيرها | لتقرير | 190صفحه | باللغه | العربيه,13,,,unknown,,,2026-05-06 20:49:23
